sentence,exercise,feeling
i benchpressed some weights. i felt strong and impressed that i did it.,benchpressed,"strong, impressed"
i did 10 sets of bicep curls   my arms are feel like they want to explode,bicep,explode
bicep curl i felt weak,bicep curl,weak
i did 4 sets of bicep curls i am feeling energized,bicep curl,energized
i did bicep curls it made my arms sore,bicep curls,sore
i did four sets of ten reps each of bicep curls. i felt a lot of strain and it took great effort to finish.,bicep curls,"strain, great effort"
"lifting 25 pound dumbells for bicep curls i felt tired, but couldve liften more",bicep curls,tired
i'm doing bicep curls pumping my arms makes me feel like a strong man.,bicep curls,strong
i just did three sets of bicep curls with dumbbells. i felt strained during the workout.,bicep curls with dumbbells,strained
i just did 10 minutes on the bicycle. my legs feel good.,bicycle,good
i rode a bicycle  i felt free,bicycle,free
i rode the stationary bicycle for 30 minutes i felt somewhat tired.,bicycle,tired
i worked on the bicycle at the gym for 30 minutes. i feel so much better because i worked up a sweat.,bicycle,better
i did 25 bicycle crunches and felt pained.,bicycle crunches,pained
i bicycled for 2 miles i felt winded,bicycled,winded
i just bicycled for 2 miles. my legs feel like jelly.,bicycled,like jelly
i just bicycled 20 miles i feel very refreshed! i loved it when my hair blew in the wind!,bicycled,refreshed
bicycling fun and satisfied,bicycling,"fun, satisfied"
i rode on my bike for approximately 1 hour and felt so energetic afterwards.,bike,energetic
i rode my bike and felt refreshed.,bike,refreshed
i rode my bike for 15 minutes. i was tired and short of breath.,bike,"tired, short of breath"
i just road a bike for 5 miles i felt good but tired,bike,"good, tired"
i just rode my bike ten miles. i felt winded.,bike,winded
i rode a bike for six kilometers. my legs hurt!,bike,hurt
i pedaled on the exercise bike for 45 minutes my legs felt strong!,bike,strong
i went for a leisurely bike ride. it feels good to be able to ride again.,bike,good
i did 10 minutes on the stationary bike.  i felt like my legs were jelly and were weak.,bike,weak
i rode my bike 8 miles it was exhilerating,bike,exhilerating
i rode my peloton bike. i felt exhausted.,bike,exhausted
i rode my exercise bike for 30 mins. i felt sore in my legs.,bike,sore
i used my stationary bike for an hour i'm beat!,bike,beat
i rode a bike for one hour i felt energized,bike,energized
i rode my bike the entire length of the shoreline trail. i felt exhausted and ready for a nap.,bike,exhausted
"i rode my bike one mile. i felt like i wasn't doing anything, not real exercise",bike,"wasn't doing anything, not real exercise"
i rode my bike for 1 hour i felt invigorated after,bike,invigorated
i rode my bike for five miles. i felt exhilarated while riding my bike.,bike,exhilarated
"i rode a bike for 5 miles. i felt terrible, my knees were so painful,",bike,painful
"i rode a bike for 30 minutes. during the bike ride, my legs felt good.",bike,good
i just rode my bike 10 miles on the rail trail.  my legs muscles are quivering with fatigue!,bike,fatigue
riding a bike up a hill and coming back down. it was a little better. it wasn’t that bad when trying it but it did burn.,bike,"better, burn."
i rode my bike 30 miles. i feel strong and accomplished.,bike,"strong, accomplished"
i rode my bike for 10 miles  now my legs feel numb,bike,numb
i just rode the bike for ten minutes. my legs hurt from the peddling,bike,legs hurt
i rode my bike 15 miles today. it was exhausting.,bike,exhausting
i ride bike for 1 hour felt good,bike,good
i took a 20 mile bike ride on local trails my legs were sore but it was fun.,bike ride,sore
"bike ride on canal, carefree",bike ride,carefree
i just went for a bike ride hungry and cold,bike ride,"hungry, cold"
just completed a 40 mile bike ride i feel completely exhausted,bike ride,exhausted
i went on a bike ride for two hours. my legs felt so weak afterward.,bike ride,weak
bike riding i felt kind of tired,bike riding,kind of tired
biked a two miles and okay,biked,okay
i biked down the riverwalk and felt great!,biked,great
i biked one mile and felt tired,biked,tired
"i biked nine miles and felt tired, but energized, and i felt confident.",biked,"tired, energized, confident"
i biked for 20 minutes my knees hurt,biked,hurt
i just biked for 8 miles i felt very tired,biked,tired
